iteration;loss
1;0.40166962
2;0.364517
3;0.3296824
4;0.35456213
5;0.37918192
6;0.399184
7;0.38733184
8;0.3877235
9;0.3641477
10;0.31695053
11;0.36560148
12;0.38216686
13;0.35788244
14;0.3874407
15;0.36146235
16;0.36190712
17;0.34582546
18;0.3469971
19;0.34812683
20;0.3298505
21;0.30330575
22;0.33337158
23;0.29811877
24;0.29779786
25;0.31428766
26;0.2958595
27;0.29553613
28;0.3128453
29;0.3117361
30;0.3185084
31;0.28354788
32;0.29147702
33;0.28892773
34;0.27426288
35;0.24961774
36;0.2680123
37;0.2223148
38;0.25433517
39;0.22910112
40;0.2234066
41;0.20083097
42;0.20856477
43;0.20693442
44;0.19949707
45;0.20089404
46;0.18556467
47;0.17148805
48;0.17979589
49;0.202898
50;0.16345079
51;0.17165926
52;0.16152424
53;0.17528208
54;0.15231669
55;0.14019467
56;0.14663982
57;0.1487622
58;0.13267452
59;0.13592474
60;0.13878775
61;0.14188969
62;0.11911254
63;0.13887426
64;0.13588327
65;0.1234386
66;0.12978727
67;0.12773605
68;0.13841033
69;0.12971486
70;0.121055365
71;0.114143
72;0.11122865
73;0.11830332
74;0.11113213
75;0.12532257
76;0.11679536
77;0.10813388
78;0.1003967
79;0.10249913
80;0.11174956
81;0.10717831
82;0.10423154
83;0.10016407
84;0.11688253
85;0.104236275
86;0.09530153
87;0.09495759
88;0.10083354
89;0.09601529
90;0.10268429
91;0.10529311
92;0.10323995
93;0.09467599
94;0.109569535
95;0.09593263
96;0.09118767
97;0.10103907
98;0.092794016
99;0.10433495
100;0.100252405
101;0.097674415
102;0.09154003
103;0.09458046
104;0.09685837
105;0.101867236
106;0.09913504
107;0.09358178
108;0.099398434
109;0.086451165
110;0.09400098
111;0.09146874
112;0.0949209
113;0.09980499
114;0.08573517
115;0.092924
116;0.08584316
117;0.08611573
118;0.08030334
119;0.08599162
120;0.10214191
121;0.090614945
122;0.0857822
123;0.08710253
124;0.09727025
125;0.08664812
126;0.089913025
127;0.08509308
128;0.08738918
129;0.07829113
130;0.08993763
131;0.09374001
132;0.08908544
133;0.096437484
134;0.094152555
135;0.08933401
136;0.08398078
137;0.08988472
138;0.08293636
139;0.077905566
140;0.09198652
141;0.08822851
142;0.094804525
143;0.08601853
144;0.077005856
145;0.080586314
146;0.08012064
147;0.0781447
148;0.08390728
149;0.08155458
150;0.0781935
151;0.07905196
152;0.08605848
153;0.070491545
154;0.07934168
155;0.07173365
156;0.0826128
157;0.079814985
158;0.075318694
159;0.07515815
160;0.075159915
161;0.07870207
162;0.07878251
163;0.079522915
164;0.07403293
165;0.07729616
166;0.0694258
167;0.06788343
168;0.073622435
169;0.07886121
170;0.06620217
171;0.07034438
172;0.0706518
173;0.07520783
174;0.07793647
175;0.07011466
176;0.076265305
177;0.076484054
178;0.07137305
179;0.08334029
180;0.08077539
181;0.07768391
182;0.07400642
183;0.070050195
184;0.07315991
185;0.07886393
186;0.07513407
187;0.075354695
188;0.07199004
189;0.074161455
190;0.0715041
191;0.07480766
192;0.07497649
193;0.07185405
194;0.06680602
195;0.064333126
196;0.0620415
197;0.069044724
198;0.07167435
199;0.05884184
200;0.07172055
201;0.072985545
202;0.07030128
203;0.07490465
204;0.06848489
205;0.07353842
206;0.07079401
207;0.06978543
208;0.06993437
209;0.07660791
210;0.07074499
211;0.070338115
212;0.066656165
213;0.06867543
214;0.0695861
215;0.075934574
216;0.06622307
217;0.071335435
218;0.06406975
219;0.06649865
220;0.06387179
221;0.06655966
222;0.06978403
223;0.065405816
224;0.06020366
225;0.070070244
226;0.064075045
227;0.063579
228;0.068915755
229;0.06562263
230;0.06530213
231;0.065151915
232;0.065305695
233;0.06818862
234;0.0672995
235;0.05829136
236;0.066132054
237;0.060038812
238;0.062131707
239;0.06710644
240;0.06230928
241;0.06323124
242;0.061730817
243;0.060547948
244;0.060480163
245;0.06719533
246;0.0640126
247;0.061080307
248;0.061364084
249;0.061891988
250;0.060967498
251;0.058826454
252;0.0642922
253;0.061144453
254;0.060166094
255;0.06354654
256;0.06376973
257;0.06467715
258;0.06050885
259;0.0638655
260;0.059999347
261;0.05432619
262;0.060461573
263;0.06434229
264;0.06362198
265;0.05538439
266;0.065706104
267;0.07014343
268;0.06085907
269;0.05838882
270;0.06286904
271;0.061112143
272;0.0613582
273;0.0590382
274;0.06736244
275;0.06338344
276;0.06246316
277;0.062662795
278;0.065806106
279;0.063775465
280;0.06344281
281;0.06529
282;0.065955244
283;0.06073529
284;0.05863236
285;0.06316179
286;0.06425528
287;0.063349746
288;0.059343047
289;0.05606769
290;0.069150545
291;0.059723344
292;0.06583164
293;0.06325584
294;0.06484808
295;0.06027077
296;0.0597893
297;0.06238056
298;0.05748122
299;0.06160798
300;0.06109619
301;0.05503247
302;0.055981584
303;0.053459473
304;0.055588577
305;0.05710772
306;0.059720203
307;0.056996927
308;0.055376757
309;0.06684129
310;0.054993376
311;0.057700515
312;0.053693004
313;0.059591733
314;0.05947822
315;0.05509688
316;0.054180667
317;0.057182968
318;0.05350969
319;0.055264764
320;0.05338471
321;0.05251526
322;0.051979225
323;0.05504708
324;0.055795632
325;0.056840476
326;0.058817722
327;0.056640934
328;0.056210607
329;0.056079835
330;0.055484224
331;0.051438175
332;0.055894896
333;0.05851066
334;0.053455263
335;0.055431776
336;0.05014351
337;0.054505497
338;0.053338595
339;0.05265925
340;0.05216157
341;0.050255522
342;0.05063774
343;0.054736026
344;0.04921283
345;0.05299395
346;0.049868368
347;0.051613696
348;0.04861693
349;0.05249254
350;0.048066977
351;0.048815362
352;0.046399243
353;0.054534063
354;0.05199695
