iteration;loss
1;0.40489814
2;0.36745253
3;0.33203787
4;0.35495156
5;0.38378668
6;0.4014829
7;0.39047062
8;0.39331666
9;0.36754084
10;0.32001483
11;0.36739945
12;0.38692322
13;0.36039728
14;0.39041612
15;0.36562777
16;0.3662457
17;0.34925276
18;0.3482331
19;0.35503423
20;0.33165255
21;0.30494514
22;0.33676988
23;0.30274945
24;0.30122668
25;0.31813103
26;0.29880726
27;0.30003238
28;0.3177593
29;0.31546497
30;0.3203377
31;0.28531498
32;0.29023898
33;0.28917092
34;0.2743367
35;0.24815853
36;0.26277643
37;0.21798365
38;0.25060079
39;0.22918728
40;0.22362615
41;0.2061005
42;0.21104956
43;0.21064544
44;0.20153587
45;0.20148668
46;0.18494937
47;0.16928558
48;0.18030317
49;0.19728138
50;0.16102263
51;0.1706124
52;0.16376811
53;0.17399427
54;0.15336339
55;0.13887651
56;0.14107114
57;0.14815295
58;0.12949267
59;0.13222753
60;0.13517788
61;0.13660537
62;0.118141845
63;0.13527182
64;0.13589017
65;0.12527293
66;0.1289433
67;0.123518154
68;0.13649468
69;0.12809332
70;0.120352365
71;0.113408946
72;0.11138013
73;0.11737543
74;0.10966231
75;0.1232799
76;0.1167777
77;0.10797496
78;0.09981279
79;0.10293007
80;0.112977564
81;0.10812775
82;0.103517815
83;0.10025063
84;0.11650701
85;0.10360779
86;0.09623283
87;0.09619734
88;0.10025136
89;0.09717785
90;0.10271299
91;0.10204728
92;0.09759648
93;0.09376721
94;0.10821025
95;0.092979655
96;0.088212594
97;0.09744926
98;0.093444556
99;0.10192473
100;0.09908113
101;0.09886282
102;0.09327852
103;0.09472869
104;0.09577305
105;0.1022171
106;0.09704979
107;0.09382391
108;0.100149125
109;0.08602798
110;0.09241442
111;0.09289909
112;0.097135484
113;0.09909313
114;0.0868179
115;0.094461136
116;0.08528811
117;0.08797643
118;0.08127225
119;0.08568761
120;0.1022687
121;0.08953717
122;0.08482364
123;0.08703074
124;0.09656171
125;0.08569786
126;0.08555031
127;0.08435258
128;0.089365415
129;0.07050782
130;0.08627909
131;0.09109321
132;0.084515244
133;0.09265415
134;0.09252103
135;0.0874442
136;0.0818903
137;0.0873224
138;0.08097455
139;0.07645279
140;0.08812832
141;0.08586345
142;0.09354349
143;0.08503975
144;0.07499642
145;0.07828031
146;0.08142446
147;0.08020194
148;0.08371794
149;0.08499908
150;0.08045873
151;0.081671216
152;0.08809528
153;0.072886236
154;0.08014825
155;0.07220202
156;0.086771406
157;0.08005362
158;0.07709175
159;0.075883746
160;0.07569205
161;0.07891968
162;0.07827552
163;0.079796955
164;0.07431503
165;0.07816464
166;0.06749384
167;0.06771666
168;0.072872
169;0.07944195
170;0.065972395
171;0.07157616
172;0.0703908
173;0.074143276
174;0.07953082
175;0.06988005
176;0.07553713
177;0.0761142
178;0.07066173
179;0.081514314
180;0.07843582
181;0.074468985
182;0.07092152
183;0.06753701
184;0.0709118
185;0.077108055
186;0.07342997
187;0.07465513
188;0.07061727
189;0.074044295
190;0.067695946
191;0.07463077
192;0.07576028
193;0.07514312
194;0.06742678
195;0.06702189
196;0.06423363
197;0.07091974
198;0.07408791
199;0.05938583
200;0.07455549
201;0.07467328
202;0.07156112
203;0.07662237
204;0.06866336
205;0.07222347
206;0.071207024
207;0.06984109
208;0.06905039
209;0.07617161
210;0.07039567
211;0.070793755
212;0.06593925
213;0.06834972
214;0.07095316
215;0.075412765
216;0.06570646
217;0.07164809
218;0.06542747
219;0.06711829
220;0.06532165
221;0.06837974
222;0.071185425
223;0.06578677
224;0.06192883
225;0.07122645
226;0.06623066
227;0.064848386
228;0.071594745
229;0.067634895
230;0.06714338
231;0.06793777
232;0.06740338
233;0.07459998
234;0.071350664
235;0.063815355
236;0.069365755
237;0.064667895
238;0.064229764
239;0.07049448
240;0.06450441
241;0.06669795
242;0.0651998
243;0.06373688
244;0.06450394
245;0.070335545
246;0.0670558
247;0.064134456
248;0.0651531
249;0.064874746
250;0.06505155
251;0.060561255
252;0.066995546
253;0.06407501
254;0.060737118
255;0.06763805
256;0.06619044
257;0.06928369
258;0.06511602
259;0.069988966
260;0.062938675
261;0.059478827
262;0.064963765
263;0.06738656
264;0.06763319
265;0.059561484
266;0.067516044
267;0.07539278
268;0.06547129
269;0.06206566
270;0.06760042
271;0.063078016
272;0.06479633
273;0.06152437
274;0.071123585
275;0.06778023
276;0.064832166
277;0.064070925
278;0.06464555
279;0.06558827
280;0.064344645
281;0.064977735
282;0.065862134
283;0.059582867
284;0.059182115
285;0.06364981
286;0.0650568
287;0.065830626
288;0.059594452
289;0.056711033
290;0.06558476
291;0.057543524
292;0.06341925
293;0.06114502
294;0.06403865
295;0.060201727
296;0.058565192
297;0.061017253
298;0.059318565
299;0.060750343
300;0.06276303
301;0.05613048
302;0.05781442
303;0.05370845
304;0.055652082
305;0.057243153
306;0.05854869
307;0.05557556
308;0.055851474
309;0.06470542
310;0.056065924
311;0.059905276
312;0.054918543
313;0.060006425
314;0.06068109
315;0.05660018
316;0.056619648
317;0.059034877
318;0.054791488
319;0.05653451
320;0.056329843
321;0.055862274
322;0.05616167
323;0.059223823
324;0.056905556
325;0.05722837
326;0.056029186
327;0.057979435
328;0.05655001
329;0.05746313
330;0.058326423
331;0.05282706
332;0.06015061
333;0.061862737
334;0.055178713
335;0.058144156
336;0.05276955
337;0.056455687
338;0.05623327
339;0.0544832
340;0.054154396
341;0.05335422
342;0.053077403
343;0.056546137
344;0.052419677
345;0.05464154
346;0.05350869
347;0.05327099
348;0.05148778
349;0.054719433
350;0.050556507
351;0.05079496
352;0.047607437
353;0.057501964
354;0.05390154
355;0.05603977
356;0.054572687
357;0.05353944
358;0.05126378
359;0.055052057
360;0.051396668
361;0.052288294
362;0.050134998
363;0.0546986
364;0.051392086
365;0.056988936
366;0.05410637
367;0.049969517
368;0.05566559
369;0.052538604
370;0.050599996
371;0.058719285
372;0.051109873
373;0.05350012
374;0.05455909
375;0.05352563
376;0.052377842
377;0.052023463
378;0.055365674
379;0.045178987
380;0.054932475
381;0.051982466
382;0.050969712
